system:index,agent,area_ha,area_m2,log10_area_ha,year,.geo
00000000000000000f2d,insect_disease_mort,0.9877725989556504,9877.725989556504,-0.00534302543850581,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000008c25,development,1.5260820396851194,15260.820396851193,0.18357788121049892,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000694b,harvest,0.9394340749434683,9394.340749434683,-0.027133691234384576,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000694c,harvest,10.430938819856468,104309.38819856469,1.018323398161366,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000285c,beaver,2.2390134714463406,22390.134714463406,0.3500567066014547,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000068fc,beaver,1.256873613532631,12568.736135326311,0.09929160886735339,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000068fe,beaver,1.1700642093528693,11700.642093528691,0.06820969508161734,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007555,beaver,6.996598892471794,69965.98892471794,0.8448869769878345,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000068bc,harvest,15.441341113074639,154413.4111307464,1.1886850170304302,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000068b7,beaver,0.8066625991075668,8066.625991075668,-0.09330807864368448,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000067d2,beaver,0.9871990269027837,9871.990269027838,-0.0055952814013518455,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000067fc,beaver,1.5220480487789068,15220.480487789067,0.18242836267776225,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006802,beaver,1.2514539688291024,12514.539688291025,0.09741487995209709,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006723,harvest,3.0505322101736865,30505.322101736867,0.48437561501168463,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006660,harvest,1.8834329984032339,18834.329984032338,0.27495017514118475,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000066a0,harvest,28.741947915467964,287419.47915467963,1.4585161980456516,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000066a6,harvest,5.92080995522735,59208.099552273496,0.7723811214230468,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000066a7,harvest,1.7942507678047446,17942.507678047445,0.2538831407498559,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006689,beaver,0.9872722370378717,9872.722370378717,-0.005563075556391389,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015bb,harvest,3.409438599663583,34094.38599663583,0.5326828736727468,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002779,harvest,2.964429701272598,29644.297012725983,0.471941155908376,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000277a,harvest,1.5256251096293814,15256.251096293814,0.18344782796908599,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000277b,harvest,5.290968581283789,52909.685812837895,0.723535182621531,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000277c,harvest,1.4333082250137261,14333.082250137262,0.1563395930691113,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000027d6,harvest,2.778965778925453,27789.65778925453,0.4438831987689703,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000027d7,harvest,3.6819699383844897,36819.6993838449,0.5660802383648917,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000027d8,harvest,28.709631518774188,287096.3151877419,1.458027618466899,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015b2,harvest,66.38470190587722,663847.0190587722,1.8220680094383466,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000088c7,beaver,0.9859455053361526,9859.455053361526,-0.0061470884927012385,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e7,harvest,53.475372762637946,534753.7276263795,1.7281538206057436,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002851,harvest,2.782002351199924,27820.02351199924,0.44435749269870245,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002852,harvest,0.8071664657920885,8071.6646579208855,-0.09303688941730047,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002853,harvest,3.7677109459195526,37677.109459195526,0.576077576868341,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002854,harvest,1.7015436876444938,17015.43687644494,0.2308431042160517,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
